WBS_ID,Task_Name,Owner,Baseline_Start,Baseline_Finish,Baseline_Effort_hrs,Predecessor(s),Actual_Start,Actual_Finish,Actual_Effort_hrs,%_Complete,Effort_Variance_hrs,Status_RAG,,,
1,Initiation & Planning,PM,4/1/2024,4/5/2024,40,,4/1/2024,4/5/2024,42,100,2,Amber,,,
1.1,Kick-off & charter,PM,4/1/2024,4/2/2024,16,,4/1/2024,4/2/2024,18,100,2,Amber,,,
1.2,Stakeholder & risk register,PM,4/3/2024,4/5/2024,24,1.1,4/3/2024,4/5/2024,24,100,0,Green,,,
2,Architecture & Solution Design,Arch,4/8/2024,4/19/2024,80,1,4/8/2024,4/21/2024,86,100,6,Amber,,,
2.1,Tech stack & cloud landing zone,Arch,4/8/2024,4/12/2024,40,1,4/8/2024,4/13/2024,44,100,4,Amber,,,
2.2,Data model & security design,Arch,4/15/2024,4/19/2024,40,2.1,4/15/2024,4/21/2024,42,100,2,Amber,,,
3,Data-Pipeline Build,DE 1,4/22/2024,5/17/2024,120,2,4/22/2024,5/20/2024,128,100,8,Amber,,,
3.1,Ingestion service (audio & docs),DE 1,4/22/2024,5/3/2024,60,2.2,4/22/2024,5/6/2024,64,100,4,Amber,,,
3.2,Datastore schema & indexing,DE 2,5/6/2024,5/17/2024,60,3.1,5/7/2024,5/20/2024,64,100,4,Amber,,,
4,Model Integration & Tuning,DE 2,5/20/2024,6/28/2024,160,3,5/21/2024,7/2/2024,172,100,12,Red,,,
4.1,Speech-to-text model integration,DE 2,5/20/2024,6/7/2024,80,3.2,5/21/2024,6/10/2024,88,100,8,Amber,,,
4.2,Image OCR & tagging,DE 1,6/12/2024,6/24/2024,40,4.1,6/12/2024,6/24/2024,42,100,2,Amber,,,
4.3,LLM prompt engineering & fine-tune,DE 2,6/26/2024,7/2/2024,40,4.2,6/26/2024,7/2/2024,42,100,2,Amber,,,
5,Backend APIs,Dev A,6/3/2024,7/12/2024,160,3,6/3/2024,7/14/2024,170,100,8,Red,,,
5.1,CRUD & auth endpoints,Dev A,6/3/2024,6/14/2024,80,3.2,6/3/2024,6/18/2024,84,100,4,Amber,,,
5.2,AI processing orchestration API,Dev B,6/19/2024,7/16/2024,80,5.1,6/19/2024,7/16/2024,86,100,6,Amber,,,
6,Frontend & UX,UX,6/17/2024,8/2/2024,120,5,6/17/2024,8/6/2024,126,100,6,Amber,,,
6.1,Wire-frames & usability testing,UX,6/17/2024,6/30/2024,40,5.1,6/17/2024,6/30/2024,42,100,2,Amber,,,
6.2,React UI for Q&A & Smart Search,Dev B,7/3/2024,7/30/2024,60,6.1,7/3/2024,7/30/2024,66,100,6,Amber,,,
6.3,Report export & theming,UX,7/31/2024,8/6/2024,20,6.2,7/31/2024,8/6/2024,18,100,-2,Green,,,
7,System Integration & Sprint 8 Hardening,Dev A,8/5/2024,8/16/2024,80,"4,5,6",8/5/2024,8/20/2024,85,100,5,Amber,,,
8,Functional & Non-functional Testing,DE 1,8/19/2024,9/13/2024,120,7,8/21/2024,9/18/2024,128,100,8,Amber,,,
8.1,Test case design & automation,DE 1,8/21/2024,9/2/2024,60,7,8/21/2024,9/2/2024,64,100,4,Amber,,,
8.2,Performance & security testing,DE 2,9/4/2024,9/18/2024,60,8.1,9/4/2024,9/18/2024,64,100,4,Amber,,,
9,User Acceptance (Sprint 12),PM,9/17/2024,9/30/2024,40,8,9/17/2024,9/30/2024,44,100,4,Amber,,,
10,Deployment & Go-live,Arch,10/1/2024,10/7/2024,40,9,10/1/2024,10/7/2024,46,100,6,Amber,,,
11,Project Closure & Lessons Learned,PM,10/8/2024,10/11/2024,32,10,10/8/2024,10/11/2024,32,100,0,Green,,,
